era,era_blup,mean_trait,n_models
2023Q1,0.012530095474944934,0.5895,1
2023Q2,0.020652008587515782,0.5925,1
2023Q3,0.032520187301231865,0.5872499999999999,4
2023Q4,-0.0011584396312631496,0.53025,2
2024Q1,-0.050181119522798856,0.404,2
2024Q2,0.011803990984793795,0.5513999999999999,5
2024Q3,-0.016970542401212554,0.511,6
2024Q4,-0.01206351571997808,0.5096666666666666,3
2025Q1,-0.014118493242478596,0.5258750000000001,4
2025Q2,0.02253595792000706,0.5700833333333333,6
2025Q3,-0.004119200449742721,0.534,1
2025Q4,0.01962323972721007,0.588375,4
2026Q1,-0.01908841297613709,0.48966666666666664,3
2026Q2,-0.001965756052094891,0.5375,5
