era,mean_trait,n_models,era_blup,era_i
2023Q1,-1.546856722650111,1,-0.19266786934946475,0
2023Q2,1.121092328659195,1,0.22953124302175015,1
2023Q3,0.17960122503500608,4,0.014878764423227917,2
2023Q4,0.5077523336547459,2,-0.09882673410769317,3
2024Q1,-0.2521547795344506,2,-0.07513478318698431,4
2024Q2,0.07887886647991317,5,0.00010454882745857292,5
2024Q3,-0.07758296319751194,6,-0.15653805243526148,6
2024Q4,-0.008987555449418391,3,0.22923975423033321,7
2025Q1,0.4966622620997156,4,0.10884010321719366,8
2025Q2,-0.1586089907250173,6,-0.29235599009327223,9
2025Q3,-0.9901852192815419,1,-0.07938846263777756,10
2025Q4,1.8040744625962795,4,0.7132856869194005,11
2026Q1,0.38993260888344755,3,-0.06272181577440283,12
2026Q2,-0.5026182833583995,5,-0.33824639305450876,13
